№ УИК,Адрес голосования,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
158.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Наличная, дом 46, корпус 1, ",,,,,,,,,,,
159.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Наличная, дом 44, корпус 4, ",,,,,,,,,,,
160.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Наличная, дом 44, корпус 4, ",,,,,,,,,,,
161.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Наличная, дом 44, корпус 4, ",,,,,,,,,,,
162.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Наличная, дом 44, корпус 5, ",,,,,,,,,,,
163.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Наличная, дом 44, корпус 5, ",,,,,,,,,,,
164.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Наличная, дом 44, корпус 5, ",,,,,,,,,,,
165.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 37, корпус 5, ",,,,,,,,,,,
166.0,"199397, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 37, корпус 5, ",,,,,,,,,,,
167.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 38, корпус 2, ",,,,,,,,,,,
168.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 38, корпус 2, ",,,,,,,,,,,
169.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 38, корпус 2, ",,,,,,,,,,,
170.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 38, корпус 2, ",,,,,,,,,,,
171.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 38, корпус 2, ",,,,,,,,,,,
172.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 42, корпус 2, ",,,,,,,,,,,
173.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 42, корпус 2, ",,,,,,,,,,,
174.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, улица Кораблестроителей, дом 42, корпус 2, ",,,,,,,,,,,
175.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, проспект КИМа, дом 11 Б, ",,,,,,,,,,,
176.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, переулок Каховского, дом 9, ",,,,,,,,,,,
177.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, переулок Каховского, дом 2 Б, ",,,,,,,,,,,
178.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, переулок Каховского, дом 2 Б, ",,,,,,,,,,,
179.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, проспект КИМа, дом 11 Б, ",,,,,,,,,,,
180.0,"199406, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, Малый проспект В.О., дом 66, СДЮШОР Василеостровского района",,,,,,,,,,,
181.0,"199226, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Гавань, улица Наличная, дом 28/16, ",,,,,,,,,,,
182.0,"199155, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Остров Декабристов, набережная реки Смоленки, дом 3, корпус 1, ",,,,,,,,,,,
183.0,,,,,,,,,,,,
184.0,,,,,,,,,,,,
185.0,,,,,,,,,,,,
186.0,,,,,,,,,,,,
187.0,,,,,,,,,,,,
188.0,,,,,,,,,,,,
189.0,,,,,,,,,,,,
190.0,,,,,,,,,,,,
191.0,,,,,,,,,,,,
192.0,,,,,,,,,,,,
193.0,,,,,,,,,,,,
194.0,,,,,,,,,,,,
576.0,"198095, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Нарвский округ, улица Ивана Черных, дом 11, литера А, ",,,,,,,,,,,
577.0,"198095, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Нарвский округ, Балтийская улица, дом 35, ",,,,,,,,,,,
578.0,"198095, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Нарвский округ, Балтийская улица, дом 35, ",,,,,,,,,,,
579.0,"198095, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Нарвский округ, улица Маршала Говорова, дом 34, ",,,,,,,,,,,
580.0,"198097, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Нарвский округ, Огородный переулок, дом 9, литера А, ",,,,,,,,,,,
581.0,"198097, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Нарвский округ, Огородный переулок, дом 9, литера А, ",,,,,,,,,,,
582.0,"198095, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Нарвский округ, проспект Стачек, дом 5, литера А, ",,,,,,,,,,,
583.0,"198095, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Нарвский округ, улица Промышленная, дом 18/2, литера А, ",,,,,,,,,,,
584.0,"198095, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Нарвский округ, улица Зои Космодемьянской, дом 4, литера А, ",,,,,,,,,,,
585.0,"198095, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Нарвский округ, улица Зои Космодемьянской, дом 4, литера А, ",,,,,,,,,,,
586.0,"198099, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Нарвский округ, улица Промышленная, дом 18/2, литера А, ",,,,,,,,,,,
587.0,"198097, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Нарвский округ, улица Турбинная, дом 50, литера А, ",,,,,,,,,,,
588.0,"198035, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Морские ворота, Межевой канал, дом 6, ",,,,,,,,,,,
589.0,"198035, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Морские ворота, Межевой канал, дом 6, ",,,,,,,,,,,
590.0,"198184, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Морские ворота, Канонерский остров, дом 32, литера Б, ",,,,,,,,,,,
591.0,"198184, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Морские ворота, Канонерский остров, дом 32, литера Б, ",,,,,,,,,,,
592.0,"198096, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Автово, улица Кронштадтская, дом 7, литера А, ",,,,,,,,,,,
593.0,"198096, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Автово, улица Кронштадтская, дом 7, литера А, ",,,,,,,,,,,
594.0,"198152, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Автово, улица Краснопутиловская, дом 22, литера А, ",,,,,,,,,,,
595.0,"198096, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Автово, улица Маринеско, дом 7, литера А, ",,,,,,,,,,,
596.0,"198096, Город Санкт-Петербург, Кировский район, муниципальное образование муниципальный округ Автово, улица Маринеско, дом 7, литера А, ",,,,,,,,,,,
