№ УИК,Адрес голосования,Координаты
59.0,"190020, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, Нарвский проспект, дом 6, ",59.9053389 30.2749026
60.0,"190020, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, Старо-Петергофский проспект, дом 33, ",59.90451799999999 30.2760969
61.0,"190020, Город Санкт-Петербург, Адмиралтейский район, муниципальное образование муниципальный округ Екатерингофский, улица Бумажная, дом 5, ",59.904475 30.270653
62.0,,""
63.0,,""
104.0,"199034, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, Кадетская линия В.О., дом 3, литера А, ",59.9416174 30.2907828
105.0,"199034, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, Кадетская линия В.О., дом 3, литера А, ",59.9416174 30.2907828
106.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, 2-я линия В.О., дом 23, литера А, ",59.942339 30.2867268
107.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, 5-я линия В.О., дом 16/17, ",59.94045 30.28465
108.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, 5-я линия В.О., дом 16/17, ",59.94045 30.28465
109.0,"199034, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, 9-я линия В.О., дом 6, ",59.9367185 30.2823756
110.0,"199034, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, 9-я линия В.О., дом 6, ",59.9367185 30.2823756
111.0,"199034, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, набережная Лейтенанта Шмидта, дом 15/1, ",59.93546489999999 30.281194
112.0,"199178, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, 13-я линия В.О., дом 28 А, ",59.939337 30.2723591
113.0,"199178, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, 13-я линия В.О., дом 28 А, ",59.939337 30.2723591
114.0,"199034, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, набережная Лейтенанта Шмидта, дом 15/1, ",59.93546489999999 30.281194
115.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, Большой проспект В.О., дом 65, ",59.935044 30.2667273
116.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, Большой проспект В.О., дом 65, ",59.935044 30.2667273
117.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, Большой проспект В.О., дом 65, ",59.935044 30.2667273
118.0,"199106, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ №7, Большой проспект В.О., дом 88, ",59.9295311 30.2506785
119.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, 2-я линия В.О., дом 43, литера В, ",59.94580699999999 30.2827581
120.0,"199004, Город Санкт-Петербург, Василеостровский район, муниципальное образование муниципальный округ Васильевский, 2-я линия В.О., дом 43, литера В, ",59.94580699999999 30.2827581
